location,date,vaccine,source_url,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters
China,2020-12-15,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.gov.cn/xinwen/gwylflkjz143/index.htm,1500000,,,
China,2020-12-31,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.gov.cn/xinwen/gwylflkjz143/index.htm,4500000,,,
China,2021-01-09,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.gov.cn/xinwen/gwylflkjz144/index.htm,9000000,,,
China,2021-01-13,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/s3574/202101/f7958ce31df146d2a2113233d1d08027.shtml,10000000,,,
China,2021-01-20,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/s3574/202101/ed502e669b6a4b1ab70fb194fc87a1d8.shtml,15000000,,,
China,2021-01-26,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.gov.cn/xinwen/gwylflkjz147/index.htm,22767000,,,
China,2021-01-31,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/s3574/202101/fde67feab1054b1893fdd5a841541edb.shtml,24000000,,,
China,2021-02-03,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/s3574/202102/e2d48b7fcb4f4313985c63162ed6fce7.shtml,31236000,,,
China,2021-02-09,"Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",http://www.nhc.gov.cn/xcs/s3574/202102/760645bfaff0402bb7bc6edf8eced4b6.shtml,40520000,,,
China,2021-02-28,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac",https://www.chinadaily.com.cn/a/202103/02/WS603dbe06a31024ad0baac25b.html,52520000,,,
China,2021-03-14,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",http://www.gov.cn/xinwen/gwylflkjz151/index.htm,64980000,,,
China,2021-03-20,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",http://www.nhc.gov.cn/xcs/s3574/202103/b3b8103da9104fc58d7ce8f5189e9be2.shtml,74956000,,,
China,2021-03-22,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",http://www.gov.cn/xinwen/2021-03/24/content_5595306.htm,80463000,,,
China,2021-03-23,"CanSino, Sinopharm/Beijing, Sinopharm/Wuhan, Sinovac, ZF2001",http://www.nhc.gov.cn/jkj/s7915/202103/4e9f38edab0243e6ac433a181906e527.shtml,82846000,,,
