date,World,Afghanistan,Africa,Albania,Algeria,Andorra,Angola,Anguilla,Antigua and Barbuda,Argentina,Armenia,Aruba,Asia,Australia,Austria,Azerbaijan,Bahamas,Bahrain,Bangladesh,Barbados,Belarus,Belgium,Belize,Benin,Bermuda,Bhutan,Bolivia,Bonaire Sint Eustatius and Saba,Bosnia and Herzegovina,Botswana,Brazil,British Virgin Islands,Brunei,Bulgaria,Burkina Faso,Burundi,Cambodia,Cameroon,Canada,Cape Verde,Cayman Islands,Central African Republic,Chad,Chile,China,Colombia,Comoros,Congo,Cook Islands,Costa Rica,Cote d'Ivoire,Croatia,Cuba,Curacao,Cyprus,Czechia,Democratic Republic of Congo,Denmark,Djibouti,Dominica,Dominican Republic,Ecuador,Egypt,El Salvador,Equatorial Guinea,Eritrea,Estonia,Eswatini,Ethiopia,Europe,European Union,Faeroe Islands,Falkland Islands,Fiji,Finland,France,French Polynesia,Gabon,Gambia,Georgia,Germany,Ghana,Gibraltar,Greece,Greenland,Grenada,Guatemala,Guinea,Guinea-Bissau,Guyana,Haiti,High income,Honduras,Hong Kong,Hungary,Iceland,India,Indonesia,International,Iran,Iraq,Ireland,Isle of Man,Israel,Italy,Jamaica,Japan,Jordan,Kazakhstan,Kenya,Kiribati,Kosovo,Kuwait,Kyrgyzstan,Laos,Latvia,Lebanon,Lesotho,Liberia,Libya,Liechtenstein,Lithuania,Low income,Lower middle income,Luxembourg,Macao,Madagascar,Malawi,Malaysia,Maldives,Mali,Malta,Marshall Islands,Mauritania,Mauritius,Mexico,Micronesia (country),Moldova,Monaco,Mongolia,Montenegro,Montserrat,Morocco,Mozambique,Myanmar,Namibia,Nauru,Nepal,Netherlands,New Caledonia,New Zealand,Nicaragua,Niger,Nigeria,North America,North Korea,North Macedonia,Norway,Oceania,Oman,Pakistan,Palau,Palestine,Panama,Papua New Guinea,Paraguay,Peru,Philippines,Poland,Portugal,Qatar,Romania,Russia,Rwanda,Saint Helena,Saint Kitts and Nevis,Saint Lucia,Saint Pierre and Miquelon,Saint Vincent and the Grenadines,Samoa,San Marino,Sao Tome and Principe,Saudi Arabia,Senegal,Serbia,Seychelles,Sierra Leone,Singapore,Slovakia,Slovenia,Solomon Islands,Somalia,South Africa,South America,South Korea,South Sudan,Spain,Sri Lanka,Sudan,Suriname,Sweden,Switzerland,Syria,Taiwan,Tajikistan,Tanzania,Thailand,Timor,Togo,Tonga,Trinidad and Tobago,Tunisia,Turkey,Turks and Caicos Islands,Tuvalu,Uganda,Ukraine,United Arab Emirates,United Kingdom,United States,Upper middle income,Uruguay,Uzbekistan,Vanuatu,Vatican,Venezuela,Vietnam,Wallis and Futuna,Yemen,Zambia,Zimbabwe
2020-01-22,557.0,,,,,,,,,,,,556.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,547.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,6.0,,,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,1.0,551.0,,,,,,,,,,
2020-01-23,657.0,,,,,,,,,,,,654.0,,,,,,,,,,,,,,,,,,,,,,,,,,2.0,,,,,,639.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,12.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1.0,,,,,,,1.0,,,,,,,,,1.0,,,4.0,,,,,,,,,,,,,1.0,643.0,,,,,,2.0,,,,
2020-01-24,944.0,,,,,,,,,,,,937.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,916.0,,,,,,,,,,,,,,,,,,,,,,,,,2.0,2.0,,,,,2.0,,,,,,,,,,,,,,,,21.0,,2.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,2.0,,2.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,3.0,,,5.0,,,,,,,,,,,,,2.0,921.0,,,,,,2.0,,,,
2020-01-25,1437.0,,,,,,,,,,,,1429.0,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,1399.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,3.0,,,,,,,,,,,,,,,,25.0,,5.0,,,,,,,,,,,,,2.0,,,,,,,,,,,,,,,,,3.0,,2.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,,2.0,,,,,,,,,3.0,,,6.0,,,,,,,,,,,,,2.0,1409.0,,,,,,2.0,,,,
2020-01-26,2120.0,,,,,,,,,,,,2105.0,4.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,,,,,,2062.0,,,,,,,,,,,,,,,,,,,,,,,,,3.0,3.0,,,,,3.0,,,,,,,,,,,,,,,,43.0,,8.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,3.0,,5.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,4.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,4.0,,,,,,,3.0,,,,,,,,,4.0,,,8.0,,,,,,,,,,,,,5.0,2074.0,,,,,,2.0,,,,
2020-01-27,2929.0,,,,,,,,,,,,2912.0,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,3.0,,,,,,2863.0,,,,,,,,,,,,,,,,,,,,,,,,,4.0,4.0,,,,,3.0,,,,,1.0,,,,,,,,,,,49.0,,8.0,,,,,,,,,,,,,4.0,,,,,,,,,,,,,,,,,5.0,,6.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,8.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,5.0,,,,,,,4.0,,,1.0,,,,,,5.0,,,8.0,,,,,,,,,,,,,5.0,2875.0,,,,,,2.0,,,,
2020-01-28,5580.0,,,,,,,,,,,,5558.0,5.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,5494.0,,,,,,,,,,,,,,,,,,,,,,,,,8.0,8.0,,,,,4.0,,,,,4.0,,,,,,,,,,,63.0,,8.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,5.0,,7.0,,,4.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,9.0,,,,5.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,4.0,,,1.0,,,,,,8.0,,,14.0,,,,,,,,,,,,,5.0,5512.0,,,,,,2.0,,,,
2020-01-29,6169.0,,,,,,,,,,,,6143.0,6.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,6070.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,1.0,5.0,,,,,4.0,,,,,,,,,,,73.0,,10.0,,,,,,,,,,,,,7.0,,,,,,,,,,,,,,,,,5.0,,7.0,,,7.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,6.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,7.0,,,,,,,4.0,,,1.0,,,,,,8.0,,,14.0,,,,,,,,,,,4.0,,6.0,6091.0,,,,,,2.0,,,,
2020-01-30,8237.0,,,,,,,,,,,,8208.0,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,8124.0,,,,,,,,,,,,,,,,,,,,,,,,,10.0,10.0,,,,1.0,5.0,,,,,4.0,,,,,,,,,,,84.0,,10.0,,,1.0,,,,,,,,,,11.0,,,,,,,,,,,,,,,,,7.0,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,10.0,,,,9.0,,,,,,,,,1.0,,,,,,,,,,,,,,,,,,,,10.0,,,,,,,4.0,,,1.0,,,,,,9.0,,,14.0,,,,,,,,,,,4.0,,6.0,8146.0,,,,,,2.0,,,,
2020-01-31,9927.0,,,,,,,,,,,,9889.0,9.0,,,,,,,,,,,,,,,,,,,,,,,1.0,,4.0,,,,,,9783.0,,,,,,,,,,,,,,,,,,,,,,,,,17.0,13.0,,,,1.0,5.0,,,,,5.0,,,,,,,,,,,108.0,,12.0,,,1.0,,,,,,,,2.0,,15.0,,,,,,,,,,,,,,,,,7.0,,7.0,,,8.0,,,,,,,,,,,,,,,,,,,1.0,,,,,,,12.0,,,,9.0,,,,,,,,,1.0,,,,,2.0,,,,,,,,,,,,,,,13.0,,,,,,,11.0,,,1.0,,,,,,10.0,,,19.0,,,,,,,,,,,4.0,2.0,8.0,9812.0,,,,,,2.0,,,,
